rowname,auc_imp_noth
Left.VentralDC,0.9175
Right.Thalamus.Proper,0.9
rh_lateraloccipital_thickness,0.8925
Left.Thalamus.Proper,0.8425
SubCortGrayVol,0.8325
lh_lateraloccipital_thickness,0.8275
Right.VentralDC,0.81
rh_precuneus_thickness,0.8075
Left.Caudate,0.7899999999999999
rh_lingual_thickness,0.76
Right.Hippocampus,0.755
Right.Amygdala,0.75
rh_precentral_thickness,0.7424999999999999
lhCortexVol,0.74
Left.Amygdala,0.7375
CortexVol,0.7275
Left.Hippocampus,0.725
Right.Accumbens.area,0.725
Left.Pallidum,0.715
Right.Pallidum,0.7125
Right.Caudate,0.7
rhCortexVol,0.7
rh_superiortemporal_thickness,0.6925
rh_inferiorparietal_thickness,0.6900000000000001
lh_paracentral_thickness,0.685
lh_postcentral_thickness,0.6825
rh_inferiortemporal_thickness,0.6775
lh_precuneus_thickness,0.675
lh_inferiortemporal_thickness,0.6675
rh_postcentral_thickness,0.6675
lh_superiorparietal_thickness,0.6475
rh_parsopercularis_thickness,0.6425
rh_superiorfrontal_thickness,0.6375000000000001
rh_fusiform_thickness,0.6325000000000001
lh_posteriorcingulate_thickness,0.6225
Left.Cerebellum.Cortex,0.6224999999999999
lh_parstriangularis_thickness,0.62
lh_parsorbitalis_thickness,0.615
rh_paracentral_thickness,0.6124999999999999
Right.Cerebellum.Cortex,0.605
rh_posteriorcingulate_thickness,0.6025
lh_lingual_thickness,0.59
Left.Accumbens.area,0.5875
rh_parsorbitalis_thickness,0.58
lh_supramarginal_thickness,0.575
lh_parahippocampal_thickness,0.5725
rh_supramarginal_thickness,0.5675
rh_insula_thickness,0.5675
lh_parsopercularis_thickness,0.565
lh_caudalmiddlefrontal_thickness,0.5575
rh_pericalcarine_thickness,0.5575
lh_rostralmiddlefrontal_thickness,0.5325
rh_parahippocampal_thickness,0.525
rh_caudalmiddlefrontal_thickness,0.52
lh_precentral_thickness,0.51
rh_transversetemporal_thickness,0.51
lh_transversetemporal_thickness,0.5075
rhCerebralWhiteMatterVol,0.5075
Left.Cerebellum.White.Matter,0.5025000000000001
lh_inferiorparietal_thickness,0.5025
rh_parstriangularis_thickness,0.4975
CerebralWhiteMatterVol,0.4975
Right.Cerebellum.White.Matter,0.495
TotalGrayVol,0.4875
lhCerebralWhiteMatterVol,0.4825
lh_superiortemporal_thickness,0.4775
Right.Putamen,0.4725
lh_caudalanteriorcingulate_thickness,0.445
lh_isthmuscingulate_thickness,0.44
lh_pericalcarine_thickness,0.44
rh_superiorparietal_thickness,0.4375
Left.Putamen,0.40750000000000003
rh_rostralmiddlefrontal_thickness,0.4
lh_middletemporal_thickness,0.395
lh_fusiform_thickness,0.385
rh_lateralorbitofrontal_thickness,0.37
lh_superiorfrontal_thickness,0.365
rh_cuneus_thickness,0.365
lh_insula_thickness,0.3325
rh_medialorbitofrontal_thickness,0.2975
rh_entorhinal_thickness,0.28500000000000003
lh_rostralanteriorcingulate_thickness,0.22
lh_entorhinal_thickness,0.19
rh_caudalanteriorcingulate_thickness,0.16
rh_isthmuscingulate_thickness,0.15750000000000003
rh_middletemporal_thickness,0.1525
lh_cuneus_thickness,0.14
rh_rostralanteriorcingulate_thickness,0.1375
lh_medialorbitofrontal_thickness,0.0925
lh_lateralorbitofrontal_thickness,0.085
