"","x"
"Left.Cerebellum.White.Matter",4.99001996007984
"Left.Cerebellum.Cortex",0.499833388870377
"Left.Thalamus.Proper",4.99500499500499
"Left.Caudate",2.24887556221889
"Left.Putamen",1.49925037481259
"Left.Pallidum",1.998001998002
"Left.Hippocampus",3.3311125916056
"Left.Amygdala",3.996003996004
"Left.Accumbens.area",0.666222518321119
"Left.VentralDC",0.499500499500499
"Right.Cerebellum.White.Matter",0.666222518321119
"Right.Cerebellum.Cortex",0.249875062468766
"Right.Thalamus.Proper",6.99300699300699
"Right.Caudate",2.99850074962519
"Right.Putamen",1.39944022391044
"Right.Pallidum",1.99866755496336
"Right.Hippocampus",2.66489007328448
"Right.Amygdala",2.33177881412392
"Right.Accumbens.area",1.99866755496336
"Right.VentralDC",0
